Signal,Filter_Class,Application,RMSE_mV,Corr,SNR_dB,SNR_gain_dB,RMSE_gain_pct,R_abs_delay_ms,PQRST_N,PQRST_RMSE_mV,PQRST_Corr,Red_60Hz_dB,HF_red_dB
Noisy ECG,Reference noisy input,Unfiltered,29.7955370608516,0.873169297299276,5.06253282909249,0,0,3.24074074074074,12,29.4811708995665,0.820027667506802,0,0
FIR low-pass,FIR,Causal filter,25.1306866302264,0.887339589386012,6.54147009351005,1.47893726441756,15.6562052266355,6.01851851851852,12,26.3124464254846,0.789737334685226,4.60135195326465,21.0616142375264
IIR Butterworth low-pass,IIR,Causal filter,38.1977543055942,0.743079349280839,2.90480056902048,-2.15773226007201,-28.1995831375107,10.1851851851852,12,40.0904930329643,0.527758474659536,14.3565087996936,51.6506871138693
Improved notch + zero-phase IIR,Improved,Zero-phase offline,1.85712100878974,0.999394350084463,29.1687531276799,24.1062202985874,93.7671168504299,0.462962962962963,12,1.5162318031112,0.999321988318882,11.9115926593912,37.7765437923014
